Modelled,Observed
236.39627078172333,169.057
16.137335053391453,21.405
7.291000253856786,1.234
21.257700748354857,7.7565002
49.836364378263184,111.322
39.04160782962662,26.7795
26.502536346511953,17.979
177.01448728589025,119.094
28.502608256314538,43.723
36.576253709455926,16.774
44.32388442069286,43.54
40.4220687256104,101.89
22.482544181499442,15.362
66.80046353591634,57.803
17.287905337191045,13.836
241.82656302930695,247.7385
40.53315975000891,36.8565
27.559142269521843,10.653
28.14114945432481,27.434
-2.2391098387748785,0.142
114.76104849001936,62.661
64.82843040192652,71.038
66.11326394130492,53.15
40.22096645207513,12.811
65.175235658449,69.8325
102.77359646784792,59.096
207.5063596334182,237.306
48.2696303933255,25.0555
-2.809202313322194,3.084
217.01093037710865,201.807
29.581322018590214,27.875
1.643108447156585,3.661
53.646440542387914,26.132
2.240283125637799,0.459
31.492121093803632,19.550499
11.140430071374372,3.601
22.708763642422785,21.602001
121.72293191327992,117.7115
23.88671843513784,38.394
38.82425769645001,36.5695
31.15402262492245,34.576
34.42913183189235,57.007
11.025899672097276,11.106
250.76678265683861,165.854
-2.932289346908565,5.8805
46.312937815880154,64.633
39.91314273706079,43.18
3.994123264865344,0.861
207.2232019071443,241.075
28.840705909470707,38.989502
154.51448776421742,134.5495
197.15786923656944,200.4925
62.22294412991772,87.253
210.60424786273575,267.21
226.9301256079944,263.276
156.69255440338088,123.485504
184.11203443115585,179.0455
83.02407477528621,114.109
174.29710097178787,180.223
45.35313641586332,60.718
67.51202771354862,37.004
94.73149517674712,100.477
10.31793316900149,11.4345
115.92291468785643,117.687
16.685363063607024,11.798
191.17989636125495,248.084
42.141385870257906,20.461
17.733962379578593,9.631
156.98688869935933,67.482
31.109417877894078,36.683
22.96052589394284,27.452
27.31636349061227,36.405
25.725545038780933,15.934
83.00444889259722,48.522
-10.096762360188452,1.129
15.86528727373215,9.565
18.020302350454337,7.126
0.7516231139458701,1.076
42.3742053556365,81.849
29.330923706950482,29.826
61.802342376983106,96.308
214.36177049156714,248.095
53.55193830752741,31.6225
160.29721941916546,225.574
61.97465797844644,61.86
65.07635740920047,95.83
85.6776689579652,159.2635
17.018232543067306,15.227
13.067595970201644,14.563499
18.27509701372837,12.919
46.507584801646374,70.447
99.03545927055374,59.699
47.614789633574965,36.558
53.434281450890154,147.55551
127.0499166084366,167.223
22.13848990019572,25.7
17.654852095674304,11.2225
74.79229338895448,78.168
19.942832655911666,22.4605
13.88705296433327,5.3075
11.763399199629983,12.157
46.56811175635566,51.535
5.583736670758034,2.971
112.03990176274722,100.983
-2.7234091753699703,0.784
14.145694612562798,14.407
11.603855844029322,7.627
21.24387265276625,36.146
41.459128774928956,29.21
245.72981234690755,312.826
108.41114142756844,109.671
